Player_Stats (Tm),Player_Stats (SB),Player_Stats (Key),Player_Stats (Player),Player_Stats (No.),Player_Stats (Age),Player_Stats (Pos),O/D/SPT,Player_Stats (College/Univ),Player_Stats (Univ_State),Player_Stats (BirthDate),Player_Stats (Yrs_Active),Player_Stats (Super_bowl),Player_Stats (Team),Player_Stats (Pts),Player_Stats (MVP),Player_Stats (Stadium),Player_Stats (City),Player_Stats (State),Player_Stats (Date),Player_Stats (W/L),O_Passing (Cmp),O_Passing (Att),O_Passing (Yds),O_Passing (TD),O_Passing (Int),O_Passing (Sk),O_Passing (Yds.1),O_Passing (Lng),O_Passing (Rate),O_Rushing (Att),O_Rushing (Yds),O_Rushing (TD),O_Rushing (Lng),O_Receiving (Rec),O_Receiving (Yds),O_Receiving (TD),O_Receiving (Lng),O_Fumbles (Fmb),O_Fumbles (FL),D_Interceptions (Int),D_Interceptions (Yds),D_Interceptions (TD),D_Interceptions (Lng),D_Sacks (Sk),D_Tackles (Comb),D_Tackles (Solo),D_Tackles (Ast),D_Fumbles (FR),D_Fumbles (Yds),D_Fumbles (TD),D_Fumbles (FF),SPT_Kick_Returns (Rt),SPT_Kick_Returns (Yds),SPT_Kick_Returns (Y/Rt),SPT_Kick_Returns (TD),SPT_Kick_Returns (Lng),SPT_Punt_Returns (Ret),SPT_Punt_Returns (Yds),SPT_Punt_Returns (Y/R),SPT_Punt_Returns (TD),SPT_Punt_Returns (Lng),SPT_Scoring (XPM),SPT_Scoring (XPA),SPT_Scoring (FGM),SPT_Scoring (FGA),SPT_Punting (Pnt),SPT_Punting (Yds),SPT_Punting (Y/P),SPT_Punting (Lng),Unique_Key,Univ_Alum_per_Team,Univ_Alum_per_SB,Univ_Total_Rings,Univ_Total_Wins,Univ_Total_MVPs,State_Alum_per_Team,State_Alum_per_SB,State_Total_Rings,State_Total_Wins,State_Total_MVPs,Total_Wins_by_Team,Total_#_of_players,Alum_%,Avg_Player_Age_by_Team,Avg_Player_Yrs_by_Team,TEAM_O_Passing (Cmp),TEAM_O_Passing (Att),TEAM_O_Passing (Yds),TEAM_O_Passing (TD),TEAM_O_Passing (Int),TEAM_O_Passing (Sk),TEAM_O_Passing (Yds.1),TEAM_O_Passing (Lng),TEAM_O_Passing (Rate),TEAM_O_Rushing (Att),TEAM_O_Rushing (Yds),TEAM_O_Rushing (TD),TEAM_O_Rushing (Lng),TEAM_O_Receiving (Rec),TEAM_O_Receiving (Yds),TEAM_O_Receiving (TD),TEAM_O_Receiving (Lng),TEAM_O_Fumbles (Fmb),TEAM_O_Fumbles (FL),TEAM_D_Interceptions (Int),TEAM_D_Interceptions (Yds),TEAM_D_Interceptions (TD),TEAM_D_Interceptions (Lng),TEAM_D_Sacks (Sk),TEAM_D_Tackles (Comb),TEAM_D_Tackles (Solo),TEAM_D_Tackles (Ast),TEAM_D_Fumbles (FR),TEAM_D_Fumbles (Yds),TEAM_D_Fumbles (TD),TEAM_D_Fumbles (FF),TEAM_SPT_Kick_Returns (Rt),TEAM_SPT_Kick_Returns (Yds),TEAM_SPT_Kick_Returns (Y/Rt),TEAM_SPT_Kick_Returns (TD),TEAM_SPT_Kick_Returns (Lng),TEAM_SPT_Punt_Returns (Ret),TEAM_SPT_Punt_Returns (Yds),TEAM_SPT_Punt_Returns (Y/R),TEAM_SPT_Punt_Returns (TD),TEAM_SPT_Punt_Returns (Lng),TEAM_SPT_Scoring (XPM),TEAM_SPT_Scoring (XPA),TEAM_SPT_Scoring (FGM),TEAM_SPT_Scoring (FGA),TEAM_SPT_Punting (Pnt),TEAM_SPT_Punting (Yds),TEAM_SPT_Punting (Y/P),TEAM_SPT_Punting (Lng),Rush_Att_Category,No
ARI,43,ARI43,Aaron Francisco,47,25,DB,Defense,BYU,UT,7/5/1983,3,XLIII,Arizona Cardinals,23,Santonio Holmes,Raymond James Stadium,Tampa,Florida,2/1/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI43Aaron Francisco,1,3,40,31,3,1,4,77,43,3,0,54,1.85,27.3,4.17,31,43,377,3,1,2,3,64,112.3,12,33,0,9,31,377,3,194,2,1,1,-1,0,-1,3,66,52,14,1,0,0,0,5,91,29.5,0,32,2,34,17,0,34,3,3,0,0,5,180,36,45,Low Rush Att,1
ARI,43,ARI43,Adrian Wilson,24,29,SS,Defense,North Carolina St.,NC,10/12/1979,7,XLIII,Arizona Cardinals,23,Santonio Holmes,Raymond James Stadium,Tampa,Florida,2/1/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI43Adrian Wilson,1,1,22,19,0,1,5,123,50,0,0,54,1.85,27.3,4.17,31,43,377,3,1,2,3,64,112.3,12,33,0,9,31,377,3,194,2,1,1,-1,0,-1,3,66,52,14,1,0,0,0,5,91,29.5,0,32,2,34,17,0,34,3,3,0,0,5,180,36,45,Low Rush Att,2
ARI,43,ARI43,Alan Branch,78,24,DT,Defense,Michigan,MI,12/29/1984,1,XLIII,Arizona Cardinals,23,Santonio Holmes,Raymond James Stadium,Tampa,Florida,2/1/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI43Alan Branch,5,7,62,43,11,5,7,128,53,11,0,54,9.26,27.3,4.17,31,43,377,3,1,2,3,64,112.3,12,33,0,9,31,377,3,194,2,1,1,-1,0,-1,3,66,52,14,1,0,0,0,5,91,29.5,0,32,2,34,17,0,34,3,3,0,0,5,180,36,45,Low Rush Att,3
ARI,43,ARI43,Gabe Watson,98,25,DT,Defense,Michigan,MI,9/24/1983,2,XLIII,Arizona Cardinals,23,Santonio Holmes,Raymond James Stadium,Tampa,Florida,2/1/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI43Gabe Watson,5,7,62,43,11,5,7,128,53,11,0,54,9.26,27.3,4.17,31,43,377,3,1,2,3,64,112.3,12,33,0,9,31,377,3,194,2,1,1,-1,0,-1,3,66,52,14,1,0,0,0,5,91,29.5,0,32,2,34,17,0,34,3,3,0,0,5,180,36,45,Low Rush Att,4
ARI,43,ARI43,Jerame Tuman,84,32,TE,Offense,Michigan,MI,3/24/1976,9,XLIII,Arizona Cardinals,23,Santonio Holmes,Raymond James Stadium,Tampa,Florida,2/1/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI43Jerame Tuman,5,7,62,43,11,5,7,128,53,11,0,54,9.26,27.3,4.17,31,43,377,3,1,2,3,64,112.3,12,33,0,9,31,377,3,194,2,1,1,-1,0,-1,3,66,52,14,1,0,0,0,5,91,29.5,0,32,2,34,17,0,34,3,3,0,0,5,180,36,45,Low Rush Att,5
ARI,43,ARI43,Steve Breaston,15,25,WR,Offense,Michigan,MI,8/20/1983,1,XLIII,Arizona Cardinals,23,Santonio Holmes,Raymond James Stadium,Tampa,Florida,2/1/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,71,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,0,9,2,34,17,0,34,0,0,0,0,0,0,0,0,ARI43Steve Breaston,5,7,62,43,11,5,7,128,53,11,0,54,9.26,27.3,4.17,31,43,377,3,1,2,3,64,112.3,12,33,0,9,31,377,3,194,2,1,1,-1,0,-1,3,66,52,14,1,0,0,0,5,91,29.5,0,32,2,34,17,0,34,3,3,0,0,5,180,36,45,Low Rush Att,6
ARI,43,ARI43,Victor Hobson,57,28,LB,Defense,Michigan,MI,2/3/1980,5,XLIII,Arizona Cardinals,23,Santonio Holmes,Raymond James Stadium,Tampa,Florida,2/1/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI43Victor Hobson,5,7,62,43,11,5,7,128,53,11,0,54,9.26,27.3,4.17,31,43,377,3,1,2,3,64,112.3,12,33,0,9,31,377,3,194,2,1,1,-1,0,-1,3,66,52,14,1,0,0,0,5,91,29.5,0,32,2,34,17,0,34,3,3,0,0,5,180,36,45,Low Rush Att,7
ARI,43,ARI43,Ali Highsmith,95,23,LB,Defense,LSU,LA,1/20/1985,0,XLIII,Arizona Cardinals,23,Santonio Holmes,Raymond James Stadium,Tampa,Florida,2/1/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI43Ali Highsmith,2,3,54,29,0,3,6,135,54,5,0,54,3.7,27.3,4.17,31,43,377,3,1,2,3,64,112.3,12,33,0,9,31,377,3,194,2,1,1,-1,0,-1,3,66,52,14,1,0,0,0,5,91,29.5,0,32,2,34,17,0,34,3,3,0,0,5,180,36,45,Low Rush Att,8
ARI,43,ARI43,Early Doucet,80,23,WR,Offense,LSU,LA,10/28/1985,0,XLIII,Arizona Cardinals,23,Santonio Holmes,Raymond James Stadium,Tampa,Florida,2/1/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI43Early Doucet,2,3,54,29,0,3,6,135,54,5,0,54,3.7,27.3,4.17,31,43,377,3,1,2,3,64,112.3,12,33,0,9,31,377,3,194,2,1,1,-1,0,-1,3,66,52,14,1,0,0,0,5,91,29.5,0,32,2,34,17,0,34,3,3,0,0,5,180,36,45,Low Rush Att,9
ARI,43,ARI43,Michael Adams,27,23,DB,Defense,Louisiana,LA,6/17/1985,1,XLIII,Arizona Cardinals,23,Santonio Holmes,Raymond James Stadium,Tampa,Florida,2/1/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI43Michael Adams,1,2,9,10,0,3,6,135,54,5,0,54,1.85,27.3,4.17,31,43,377,3,1,2,3,64,112.3,12,33,0,9,31,377,3,194,2,1,1,-1,0,-1,3,66,52,14,1,0,0,0,5,91,29.5,0,32,2,34,17,0,34,3,3,0,0,5,180,36,45,Low Rush Att,10
