Player_Stats (College/Univ),School,City and State,Type,Conference,Division,Sub-division
Long Beach St.,California State University - Long Beach,"Long Beach, California",Public,Pacific Coast Athletic Association,NCAA D1,NCAA D1
Marquette,Marquette University,"Milwaukee, Wisconsin",Private,Division I Independents,NCAA D1,NCAA D1
UC Riverside,"University of California, Riverside","Riverside, California",Public,California Collegiate Athletic Association,NCAA D1,NCAA D1
Air Force,United States Air Force Academy,"USAF Academy, Colorado",Public,Mountain West Conference,NCAA D1,FBS
Akron,University of Akron,"Akron, Ohio",Public,Mid-American Conference,NCAA D1,FBS
Alabama,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
Ala-Birmingham,University of Alabama – Birmingham,"Birmingham, Alabama",Public,Conference USA,NCAA D1,FBS
Appalachian St.,Appalachian State University,"Boone, North Carolina",Public,Sun Belt Conference,NCAA D1,FBS
California,University of California-Berkeley,"Berkeley, California",Public,Pac-12 Conference,NCAA D1,FBS
Arkansas,University of Arkansas,"Fayetteville, Arkansas",Public,Southeastern Conference,NCAA D1,FBS
Arkansas St.,Arkansas State University,"Jonesboro, Arkansas",Public,Sun Belt Conference,NCAA D1,FBS
Army,United States Military Academy,"West Point, New York",Public,Patriot League,NCAA D1,FBS
Auburn,Auburn University,"Auburn, Alabama",Public,Southeastern Conference,NCAA D1,FBS
Ball St.,Ball State University,"Muncie, Indiana",Public,Mid-American Conference,NCAA D1,FBS
Mississippi Delta CC,Mississippi Delta Community College,"Moorhead, Mississippi",Public,Mississippi Association of Community Colleges Conference,Junior College,JC
Baylor,Baylor University,"Waco, Texas",Private,Big 12 Conference,NCAA D1,FBS
Boise St.,Boise State University,"Boise, Idaho",Public,Mountain West Conference,NCAA D1,FBS
Boston Col.,Boston College,"Chestnut Hill, Massachusetts",Private,Atlantic Coast Conference,NCAA D1,FBS
Bowling Green,Bowling Green State University,"Bowling Green, Ohio",Public,Mid-American Conference,NCAA D1,FBS
Buffalo,SUNY University at Buffalo,"Buffalo, New York",Public,Mid-American Conference,NCAA D1,FBS
BYU,Brigham Young University,"Provo, Utah",Private,West Coast Conference,NCAA D1,FBS
Arizona,University of Arizona,"Tucson, Arizona",Public,Pac-12 Conference,NCAA D1,FBS
Central Florida,University of Central Florida,"Orlando, Florida",Public,American Athletic Conference,NCAA D1,FBS
Central Michigan,Central Michigan University,"Mount Pleasant, Michigan",Public,Mid-American Conference,NCAA D1,FBS
Charlotte,University of North Carolina at Charlotte,"Charlotte, North Carolina",Public,Conference USA,NCAA D1,FBS
Cincinnati,University of Cincinnati,"Cincinnati, Ohio",Public,American Athletic Conference,NCAA D1,FBS
Clemson,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
Coastal Carolina,Coastal Carolina University,"Conway, South Carolina",Public,Sun Belt Conference,NCAA D1,FBS
Arizona St.,Arizona State University,"Tempe, Arizona",Public,Pac-12 Conference,NCAA D1,FBS
Colorado St.,Colorado State University,"Fort Collins, Colorado",Public,Mountain West Conference,NCAA D1,FBS
Connecticut,University of Connecticut,"Storrs, Connecticut",Public,Big East Conference,NCAA D1,FBS
Duke,Duke University,"Durham, North Carolina",Private,Atlantic Coast Conference,NCAA D1,FBS
East Carolina,East Carolina University,"Greenville, North Carolina",Public,American Athletic Conference,NCAA D1,FBS
Eastern Michigan,Eastern Michigan University,"Ypsilanti, Michigan",Public,Mid-American Conference,NCAA D1,FBS
Florida,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
Colorado,University of Colorado – Boulder,"Boulder, Colorado",Public,Pac-12 Conference,NCAA D1,FBS
Florida International,Florida International University,"Miami, Florida",Public,Conference USA,NCAA D1,FBS
Florida St.,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
Fresno St.,California State University-Fresno,"Fresno, California",Public,Mountain West Conference ,NCAA D1,FBS
Georgia,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
Georgia Southern,Georgia Southern University,"Statesboro, Georgia",Public,Sun Belt Conference,NCAA D1,FBS
