,Player_Stats (College/Univ),Player_Stats (Univ_State),School,City and State,Type,Conference,Division,Sub-division
0,BYU,UT,Brigham Young University,"Provo, Utah",Private,West Coast Conference,NCAA D1,FBS
1,North Carolina St.,NC,North Carolina State University,"Raleigh, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
2,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
3,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
4,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
5,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
6,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
7,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
8,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
9,Louisiana,LA,University of Louisiana,"Lafayette, Louisiana",Public,Sun Belt Conference,NCAA D1,FBS
10,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
11,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
12,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
13,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
14,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
15,Oklahoma St.,OK,Oklahoma State University,"Stillwater, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
16,Deakin (Australia),Australia,Deakin University,"Victoria, Australia",Public,,,
17,Delaware,DE,University of Delaware,"Newark, Delaware",Public,Colonial Athletic Association,NCAA D1,FCS
18,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
19,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
20,Purdue,IN,Purdue University,"West Lafayette, Indiana",Public,Big Ten Conference,NCAA D1,FBS
21,Fresno St.,CA,California State University-Fresno,"Fresno, California",Public,Mountain West Conference ,NCAA D1,FBS
22,Fresno St.,CA,California State University-Fresno,"Fresno, California",Public,Mountain West Conference ,NCAA D1,FBS
