YEAR,UNIV (Division),UNIV (Conference),UNIV (Name),Unit,PLAYER (Pos),total_pts,total_tds,O_Passing (Yds),O_Passing (TD),O_Rushing (Yds),O_Rushing (TD),D_Interceptions (Int),D_Sacks (Sk),D_Fumbles (FF),SPT_Kick_Returns (Y/Rt),SPT_Punt_Returns (Y/R),SPT_Scoring (XPM),SPT_Scoring (FGM),SPT_Punting (Y/P)
1967,NCAA D1,Big 12 Conference,University of Kansas,Offense,Halfback (HB),0,0,0,0,1,0,0,0,0,21.8,0,0,0,0
1967,NCAA D1,Ohio Valley Conference,Tennessee State University,Special Teams,Kicker (K),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Ohio Valley Conference,Tennessee State University,Defense,Right Cornerback (RCB),0,0,0,0,0,0,1,0,0,0,0,0,0,0
1967,NCAA D1,American Athletic Conference,University of Memphis,Offense,Guard (G),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D2,Pennsylvania State Athletic Conference,West Chester University of Pennsylvania,Offense,Tackle (T),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Big 12 Conference,Baylor University,Defense,Defensive Back (DB),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Big 12 Conference,Texas Christian University,Defense,Middle Linebacker (MLB),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Big 12 Conference,Texas Tech University,Defense,Right Linebacker (RLB),0,0,0,0,0,0,0,1,0,0,0,0,0,0
1967,NCAA D1,Big Ten Conference,Purdue University,Offense,Quarterback (QB),6,1,211,1,24,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Big Ten Conference,Michigan State University,Offense,Tight End (TE),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Big 12 Conference,University of Kansas,Offense,Full Back (FB),0,0,0,0,16,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Pac-12 Conference,Arizona State University,Special Teams,Kicker (K),6,0,0,0,0,0,0,0,0,0,0,1,1,0
1967,NCAA D1,Western Athletic Conference,Sam Houston State University,Defense,Defensive Back (DB),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Big Sky Conference,University of Idaho,Offense,Tight End (TE),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,National Association of Intercollegiate Athletics,Missouri College Athletic Union,Tarkio College,Offense,Right Guard (RG),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Lone Star Conference,"Texas A&M University, Commerce",Offense,Center (C),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Big 12 Conference,Texas Tech University,Offense,Running Back (RB),0,0,0,0,30,0,0,0,0,25,8.3,0,0,43
1967,NCAA D1,Big Ten Conference,Michigan State University,Defense,Left Defensive Tackle (LDT),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Big Ten Conference,Michigan State University,Offense,Left Guard (LG),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Southland Conference,University of Texas at Arlington,Defense,Defensive Back (DB),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Big Sky Conference,University of Idaho,Offense,Right Guard (RG),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,National Association of Intercollegiate Athletics - D1,Gulf Coast Athletic Conference,Philander Smith University,Offense,Halfback (HB),12,2,0,0,45,2,0,0,0,0,0,0,0,0
1967,NCAA D1,Big Ten Conference,University of Minnesota,Defense,Defensive End (DE),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Southern Intercollegiate Athletic Conference,Morris Brown College,Defense,Defensive Back (DB),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D2,California Collegiate Athletic Association and,"California State University, Los Angeles",Defense,Defensive Tackle (DT),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Pac-12 Conference,Stanford University,Offense,Left End (LE),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Pac-12 Conference,University of Southern California,Offense,Halfback (HB),0,0,0,0,17,0,0,0,0,21.5,8.5,0,0,0
1967,NCAA D1,Big Ten Conference,University of Minnesota,Defense,Left Linebacker (LLB),0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
1967,NCAA D1,Southeastern Conference,Louisiana State University (LSU),Defense,Free Safety (FS),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Southeastern Conference,Auburn University,Defense,Strong Safety (SS),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Southeastern Conference,Auburn University,Defense,Right Defensive End (RDE),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Southeastern Conference,Auburn University,Offense,Right Tackle (RT),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Southeastern Conference,Auburn University,Offense,Center (C),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Southeastern Conference,University of Alabama,Special Teams,Kicker (K),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Southeastern Conference,University of Missouri,Defense,Linebacker (LB),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,American Athletic Conference,"Southern Methodist University, SMU",Defense,Left Defensive End (LDE),0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
1967,NCAA D1,Big Ten Conference,Northwestern University,Defense,Left Cornerback (LCB),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Pac-12 Conference,University of Southern California,Offense,Quarterback (QB),0,0,17,0,14,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Big Ten Conference,University of Iowa,Offense,Right Guard (RG),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Southwestern Athletic Conference,Grambling State University,Defense,Right Defensive Tackle (RDT),0,0,0,0,0,0,0,1,0,0,0,0,0,0
1967,NCAA D1,Big Ten Conference,Penn State,Offense,Guard (G),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,American Athletic Conference,"Southern Methodist University, SMU",Offense,Right Tackle (RT),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Southwestern Athletic Conference,Florida A&M University,Offense,Running Back (RB),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Southwestern Athletic Conference,Texas Southern University,Defense,Left Defensive Tackle (LDT),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Southwestern Athletic Conference,Prairie View A & M University,Offense,Flanker (FL),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Southwestern Athletic Conference,Bishop College,Defense,Defensive Back (DB),0,0,0,0,0,0,0,0,0,0,2,0,0,0
1967,NCAA D1,Sun Belt Conference,University of Louisiana Monroe,Defense,Linebacker (LB),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Sun Belt Conference,University of Southern Mississippi,Special Teams,Punter (P),0,0,0,0,0,0,0,0,0,0,0,0,0,45.3
1967,NCAA D1,Atlantic Coast Conference,University of Miami,Defense,Linebacker (LB),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Southwestern Athletic Conference,Southern University & A&M College,Offense,Split End (SE),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,American Athletic Conference,Wichita State University,Offense,Flanker (FL),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Big Ten Conference,Ohio State University,Offense,Left Tackle (LT),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,American Athletic Conference,University of Memphis,Defense,Defensive Back (DB),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Southeastern Conference,University of Florida,Special Teams,Punter (P),0,0,0,0,0,0,0,0,0,0,0,5,0,43.3
1967,NCAA D1,Big 12 Conference,Texas Christian University,Defense,Linebacker (LB),0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,NCAA D1,Atlantic Coast Conference,Georgia Tech,Offense,Center (C),0,0,0,0,0,0,0,0,0,0,0,0,0,0
