Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,Player_Stats,O_Passing,O_Passing,O_Passing,O_Passing,O_Passing,O_Passing,O_Passing,O_Passing,O_Passing,O_Rushing,O_Rushing,O_Rushing,O_Rushing,O_Receiving,O_Receiving,O_Receiving,O_Receiving,O_Fumbles,O_Fumbles,D_Interceptions,D_Interceptions,D_Interceptions,D_Interceptions,D_Sacks,D_Tackles,D_Tackles,D_Tackles,D_Fumbles,D_Fumbles,D_Fumbles,D_Fumbles,SPT_Kick_Returns,SPT_Kick_Returns,SPT_Kick_Returns,SPT_Kick_Returns,SPT_Kick_Returns,SPT_Punt_Returns,SPT_Punt_Returns,SPT_Punt_Returns,SPT_Punt_Returns,SPT_Punt_Returns,SPT_Scoring,SPT_Scoring,SPT_Scoring,SPT_Scoring,SPT_Punting,SPT_Punting,SPT_Punting,SPT_Punting
Tm,SB,Key,Player,No.,Age,Pos,College/Univ,College/Univ 2,College/Univ 3,BirthDate,Yrs,Super_bowl,Team,Pts,MVP,Stadium,City,State,Date,W/L,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Rec,Yds,TD,Lng,Fmb,FL,Int,Yds,TD,Lng,Sk,Comb,Solo,Ast,FR,Yds,TD,FF,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng
GNB,1,GNB1,Bart Starr,15,32,QB,Alabama,None,None,1/9/1934,10,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,16,23,250,2,1,3,22,37,116.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,1,GNB1,Zeke Bratkowski,12,35,QB,Georgia,None,None,10/20/1931,12,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,1,GNB1,Jim Taylor,31,31,FB,LSU,None,None,9/20/1935,8,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,0,0,0,0,0,0,0,0,17,56,1,14,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,1,GNB1,Elijah Pitts,22,28,HB,Philander Smith,None,None,2/3/1938,5,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,0,0,0,0,0,0,0,0,11,45,2,12,2,32,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,1,GNB1,Donny Anderson,44,23,RB,Texas Tech,None,None,5/16/1943,Rook,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,0,0,0,0,0,0,0,0,4,30,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,1,GNB1,Jim Grabowski,33,22,RB,Illinois,None,None,9/9/1944,Rook,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,1,GNB1,Max McGee,85,34,E,Tulane,None,None,7/16/1932,12,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,138,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,1,GNB1,Carroll Dale,84,28,TE/LE,Virginia Tech,None,None,4/24/1938,6,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,59,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,1,GNB1,Marv Fleming,81,24,LE/TE,Utah,None,None,1/2/1942,3,I,Green Bay Packers,35,Bart Starr+,Memorial Coliseum,Los Angeles,California,1/15/1967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
